Location,Number of Records,Power output (MW),Wind Speed (m/s),Windmill
C,1,12.32645833,8.607222222,a232
C,1,12.26941667,8.703611111,a234
C,1,12.64872917,8.768541667,a236
C,1,12.82489583,8.838611111,a238
C,1,13.01747917,8.909930556,a240
C,1,14.98839583,8.946458333,a242
C,1,12.19139583,8.990208333,a244
C,1,13.79714583,9.065555556,a246
C,1,15.47633333,9.172361111,a248
C,1,14.0113125,9.23375,a250
C,1,14.60079167,9.255694444,a252
C,1,15.44377083,9.266319444,a254
C,1,15.02189583,9.287222222,a256
C,1,13.77633333,9.328888889,a258
C,1,14.14110417,9.402986111,a260
C,1,14.83027083,9.419861111,a262
C,1,14.5160625,9.455555556,a264
C,1,15.7435625,9.507013889,a266
C,1,14.217125,9.55125,a268
C,1,16.27333333,9.658958333,a270
C,1,15.493,9.728611111,a272
C,1,15.89010417,9.824166667,a274
C,1,15.28064583,9.878402778,a276
C,1,17.02341667,9.939027778,a278
C,1,16.526125,10.06513889,a280
C,1,17.04339583,10.095,a282
C,1,17.87427083,10.26097222,a284
C,1,18.16735417,10.46229167,a286
C,1,19.24847917,10.49076389,a288
C,1,16.42695833,10.51875,a290
C,1,18.88529167,10.54576389,a292
C,1,18.7215,10.62576389,a294
C,1,17.897625,10.70881944,a296
C,1,19.8158125,10.72020833,a298
C,1,18.47552083,10.74444444,a300
C,1,19.1835,10.88395833,a302
C,1,18.19927083,10.91013889,a304
C,1,19.33766667,10.97638889,a306
C,1,19.57289583,11.063125,a308
C,1,20.74554167,11.21638889,a310
C,1,20.694125,11.2475,a312
C,1,20.22475,11.29930556,a314
C,1,20.05866667,11.31861111,a316
C,1,21.36477083,11.43395833,a318
C,1,19.49235417,11.49583333,a320
C,1,21.97025,11.55291667,a322
C,1,22.16314583,11.57868056,a324
C,1,18.26564583,11.61055556,a326
C,1,21.97547917,11.8225,a328
C,1,23.10260417,12.12625,a330
C,1,23.25797917,12.30423611,a332
C,1,23.71645833,12.41243056,a334
C,1,24.0004375,12.43715278,a336
C,1,24.90864583,12.47979167,a338
C,1,23.70204167,12.68569444,a340
C,1,25.5706875,12.81576389,a342
C,1,23.53583333,13.1775,a344
C,1,27.0041875,13.29319444,a346
C,1,27.0890625,13.77722222,a348
C,1,26.40464583,14.03291667,a350
C,1,28.75483333,14.22340278,a352
C,1,26.00772917,14.29951389,a354
C,1,28.84470833,14.436875,a356
C,1,27.35460417,14.78368056,a358
C,1,26.15347917,15.16819444,a360
C,1,28.5775,15.26784722,a362
C,1,0.828041667,3.130694444,a54
C,1,0.5851875,3.210763889,a56
C,1,0.4905625,3.253888889,a58
C,1,0.863770833,3.299513889,a60
C,1,1.2425625,3.349583333,a62
C,1,0.648583333,3.38625,a64
C,1,0.9190625,3.474097222,a66
C,1,1.114166667,3.482708333,a68
C,1,2.6239375,3.603680556,a70
C,1,1.373291667,3.643541667,a72
C,1,0.912875,3.657291667,a74
C,1,1.0626875,3.669236111,a76
C,1,1.718979167,3.697083333,a78
C,1,1.002645833,3.836944444,a80
C,1,1.3155,3.850833333,a82
C,1,1.577979167,3.863611111,a84
C,1,4.181291667,3.873611111,a85
C,1,1.2563125,3.916319444,a86
C,1,1.405,4.019791667,a88
C,1,3.181833333,4.217847222,a90
C,1,2.470666667,4.235347222,a92
C,1,3.857166667,4.324166667,a94
C,1,1.960583333,4.419930556,a96
C,1,1.766604167,4.4825,a98
